"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 12 12:01:25 GMT 2025","Sat Jul 12 12:01:25 GMT 2025","86","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameUsingInvalidPath","Search all items by name using invalid path and check status code",""
"passed","Sat Jul 12 12:01:19 GMT 2025","Sat Jul 12 12:01:20 GMT 2025","525","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmount","Add item to the cart, change amount of added to the cart item and check status code",""
"passed","Sat Jul 12 12:02:00 GMT 2025","Sat Jul 12 12:02:05 GMT 2025","4929","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","goToBagCheckHeaderAndUrl","Click on bag button, check text of page's header and url",""
"passed","Sat Jul 12 12:01:19 GMT 2025","Sat Jul 12 12:01:19 GMT 2025","398","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
"passed","Sat Jul 12 12:01:25 GMT 2025","Sat Jul 12 12:01:26 GMT 2025","1107","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameAndCheckNames","Search all items by name, check that their names contain the requested text and check status code",""
"passed","Sat Jul 12 12:07:27 GMT 2025","Sat Jul 12 12:07:51 GMT 2025","24670","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeFromDropdownTest","On current item's page click 'Size' button, check that dropdown is visible, scroll to first size, click on it and check that size have appeared",""
"passed","Sat Jul 12 12:01:20 GMT 2025","Sat Jul 12 12:01:21 GMT 2025","1138","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeAmountCheckCart","Add item to the cart, change amount of added to the cart item and check that amount has changed",""
"passed","Sat Jul 12 12:01:24 GMT 2025","Sat Jul 12 12:01:24 GMT 2025","150","","API.Tests.CartTests","","API.Tests.CartTests","addItemToCart","Add item to the cart and check status code",""
"broken","Sat Jul 12 12:05:53 GMT 2025","Sat Jul 12 12:06:13 GMT 2025","20011","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"passed","Sat Jul 12 12:07:51 GMT 2025","Sat Jul 12 12:08:18 GMT 2025","26940","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBag","On current item's page pick size, click 'Add to bag' and check that 'Added to Bag' modal has appeared",""
"passed","Sat Jul 12 12:01:24 GMT 2025","Sat Jul 12 12:01:24 GMT 2025","363","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByName","Search all items by name and check status code",""
"passed","Sat Jul 12 12:10:24 GMT 2025","Sat Jul 12 12:10:33 GMT 2025","8276","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToMeansJeans","Move cursor to Men's section, click on Jeans link, check url and subtitle",""
"failed","Sat Jul 12 12:11:13 GMT 2025","Sat Jul 12 12:11:19 GMT 2025","5295","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, invalid password, click 'Sign In' button and check message",""
"passed","Sat Jul 12 12:04:50 GMT 2025","Sat Jul 12 12:05:13 GMT 2025","22777","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemUsingSearchAndCheckItemAndShipping","Add item to the bag, using search and quick shop, which price is bigger than 75$, check that items name and price from search and bag are identical and check status of shipping progress bar",""
"passed","Sat Jul 12 12:11:52 GMT 2025","Sat Jul 12 12:11:57 GMT 2025","4860","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidFirstName","Go to 'Sign In' modal inside 'Account' modal, type invalid firstname, valid password, click 'Sign In' button and check message",""
"passed","Sat Jul 12 12:01:19 GMT 2025","Sat Jul 12 12:01:19 GMT 2025","116","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"broken","Sat Jul 12 12:11:37 GMT 2025","Sat Jul 12 12:11:52 GMT 2025","14947","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Sat Jul 12 12:05:13 GMT 2025","Sat Jul 12 12:05:46 GMT 2025","32832","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status and value of shipping progress bar",""
"failed","Sat Jul 12 12:11:57 GMT 2025","Sat Jul 12 12:12:02 GMT 2025","5153","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooSmallPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with less than 8 characters, click 'Sign In' button and check message",""
"passed","Sat Jul 12 12:09:53 GMT 2025","Sat Jul 12 12:10:24 GMT 2025","31514","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxAndDisableFilter","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that it is checked and disable it by clicking on appeared filter button",""
"passed","Sat Jul 12 12:07:11 GMT 2025","Sat Jul 12 12:07:16 GMT 2025","4386","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","type name of the item in the 'Search' field and check that dropdown is visible",""
"passed","Sat Jul 12 12:08:39 GMT 2025","Sat Jul 12 12:09:07 GMT 2025","27848","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","checkAndChangeAmount","On current item's page check that you can't change amount of item before you choose size, than change amount of item and check it",""
"broken","Sat Jul 12 12:11:24 GMT 2025","Sat Jul 12 12:11:37 GMT 2025","12881","","UI.Tests.SingInTests","","UI.Tests.SingInTests","successfulSignIn","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, lastname, click 'Sign In' button and check that authorization was successful",""
"passed","Sat Jul 12 12:01:22 GMT 2025","Sat Jul 12 12:01:23 GMT 2025","743","","API.Tests.CartTests","","API.Tests.CartTests","addItemCheckCartIDAndItemPresence","Add item to the cart, check status code, check response body and check that item is in the cart",""
"passed","Sat Jul 12 12:06:22 GMT 2025","Sat Jul 12 12:06:29 GMT 2025","6536","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Sat Jul 12 12:06:29 GMT 2025","Sat Jul 12 12:06:34 GMT 2025","4999","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","transitionToCreateAnAccountPage","Go to 'Create an Account' page and check url and page's header text",""
"passed","Sat Jul 12 12:02:05 GMT 2025","Sat Jul 12 12:03:06 GMT 2025","61006","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckOutChangeShippingAndCheckPrice","Add item to the bag, to go checkout page, fill all necessary fields, pick different shipping method and check that 'Order Total' section has changed on new shipping method price",""
"passed","Sat Jul 12 12:01:23 GMT 2025","Sat Jul 12 12:01:24 GMT 2025","1035","","API.Tests.CartTests","","API.Tests.CartTests","addItemDeleteItAndCheckCart","Add item to the cart, delete it, check that there is no deleted item in the cart and status code",""
"passed","Sat Jul 12 12:01:26 GMT 2025","Sat Jul 12 12:02:00 GMT 2025","34135","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Sat Jul 12 12:01:17 GMT 2025","Sat Jul 12 12:01:18 GMT 2025","642","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmountForInvalidValue","Add item to the cart, change amount of added to the cart item for negative and check status code",""
"passed","Sat Jul 12 12:10:55 GMT 2025","Sat Jul 12 12:11:09 GMT 2025","14327","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToCurrentItemsPage","On 'Men's Jeans' page scroll to the first item, move cursor to it, click and check url",""
"passed","Sat Jul 12 12:01:22 GMT 2025","Sat Jul 12 12:01:22 GMT 2025","85","","API.Tests.CartTests","","API.Tests.CartTests","addItemUsingInvalidPath","Add item to the cart with invalid path and check status code",""
"passed","Sat Jul 12 12:03:46 GMT 2025","Sat Jul 12 12:04:20 GMT 2025","34320","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckPriceInBagAndCheckout","Add item to the bag, click on 'Let's Check Out' button and check that price in the bag page is the same as in checkout page",""
"passed","Sat Jul 12 12:07:16 GMT 2025","Sat Jul 12 12:07:21 GMT 2025","5837","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchForNonExistingItem","Type name of non-existing item in the 'Search' field and check message",""
"passed","Sat Jul 12 12:07:05 GMT 2025","Sat Jul 12 12:07:11 GMT 2025","6773","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchItemsAndCheckUrlAndSubtitle","Type name of the item in the 'Search' field, click on Loupe-like button and check url and status code",""
"broken","Sat Jul 12 12:06:34 GMT 2025","Sat Jul 12 12:06:46 GMT 2025","12216","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Sat Jul 12 12:06:46 GMT 2025","Sat Jul 12 12:06:54 GMT 2025","7715","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongConfirmPassword","Type valid email, first name, last name, valid password, confirm password incorrectly, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Sat Jul 12 12:09:07 GMT 2025","Sat Jul 12 12:09:36 GMT 2025","29044","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBagAndCheckTransition","On current item's page pick size, click 'Add to bag', get info about added to bag item, check that added to bag modal has appeared, then go to basket and check url and compare info about item",""
"passed","Sat Jul 12 12:01:24 GMT 2025","Sat Jul 12 12:01:25 GMT 2025","82","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsUsingEmptyQuery","Search all items using empty query and check status code",""
"failed","Sat Jul 12 12:11:19 GMT 2025","Sat Jul 12 12:11:24 GMT 2025","5484","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooBigPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with more than 25 characters, click 'Sign In' button and check message",""
"passed","Sat Jul 12 12:08:18 GMT 2025","Sat Jul 12 12:08:39 GMT 2025","20834","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","changeRadioColorAndChekStateAndPhotos","On current item's page find selected color radio, check that it is selected, click on other first available radio and check that radios states have changed",""
"passed","Sat Jul 12 12:09:36 GMT 2025","Sat Jul 12 12:09:53 GMT 2025","17077","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickRadioOnlineOnly","On 'Men's Jeans' page click on 'Online Exclusives' radio and check its state",""
