"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 06:30:32 GMT 2025","Wed Jul 16 06:30:32 GMT 2025","207","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameUsingInvalidPath","Search all items by name using invalid path and check status code",""
"passed","Wed Jul 16 06:38:04 GMT 2025","Wed Jul 16 06:38:29 GMT 2025","25077","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","checkAndChangeAmount","On current item's page check that you can't change amount of item before you choose size, than change amount of item and check it",""
"passed","Wed Jul 16 06:36:14 GMT 2025","Wed Jul 16 06:36:22 GMT 2025","7683","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
"passed","Wed Jul 16 06:40:39 GMT 2025","Wed Jul 16 06:40:45 GMT 2025","5566","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, invalid password, click 'Sign In' button and check message",""
"passed","Wed Jul 16 06:36:34 GMT 2025","Wed Jul 16 06:36:39 GMT 2025","4926","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","Type name of the item in the 'Search' field and check that dropdown is visible",""
"passed","Wed Jul 16 06:30:33 GMT 2025","Wed Jul 16 06:31:04 GMT 2025","30430","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"broken","Wed Jul 16 06:41:02 GMT 2025","Wed Jul 16 06:41:17 GMT 2025","14976","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Wed Jul 16 06:34:24 GMT 2025","Wed Jul 16 06:34:59 GMT 2025","34712","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status, value of shipping progress bar and prices",""
"broken","Wed Jul 16 06:40:50 GMT 2025","Wed Jul 16 06:41:02 GMT 2025","12563","","UI.Tests.SingInTests","","UI.Tests.SingInTests","successfulSignIn","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, lastname, click 'Sign In' button and check that authorization was successful",""
"passed","Wed Jul 16 06:35:36 GMT 2025","Wed Jul 16 06:35:43 GMT 2025","6819","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
