"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 15:32:58 GMT 2025","Wed Jul 16 15:33:03 GMT 2025","5000","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","transitionToCreateAnAccountPage","Go to 'Create an Account' page and check url and page's header text",""
"passed","Wed Jul 16 15:27:27 GMT 2025","Wed Jul 16 15:27:28 GMT 2025","161","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestToken","Post request for guest token for authorization and check status code",""
"broken","Wed Jul 16 15:38:39 GMT 2025","Wed Jul 16 15:38:54 GMT 2025","14995","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooSmallPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with less than 8 characters, click 'Sign In' button and check message",""
"broken","Wed Jul 16 15:33:03 GMT 2025","Wed Jul 16 15:33:20 GMT 2025","17015","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Wed Jul 16 15:32:17 GMT 2025","Wed Jul 16 15:32:25 GMT 2025","7401","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithTooBigPassword","Type valid email, first name, last name, invalid password, confirm invalid password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Wed Jul 16 15:27:34 GMT 2025","Wed Jul 16 15:27:34 GMT 2025","217","","API.Tests.CartTests","","API.Tests.CartTests","addItemWithNonExistingID","Add item to the cart with non-existing ID and check status code",""
"passed","Wed Jul 16 15:33:46 GMT 2025","Wed Jul 16 15:33:50 GMT 2025","4332","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","Type name of the item in the 'Search' field and check that dropdown is visible",""
"passed","Wed Jul 16 15:37:54 GMT 2025","Wed Jul 16 15:37:59 GMT 2025","4551","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooBigPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with more than 25 characters, click 'Sign In' button and check message",""
"passed","Wed Jul 16 15:28:20 GMT 2025","Wed Jul 16 15:29:28 GMT 2025","68272","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckOutChangeShippingAndCheckPrice","Add item to the bag, to go checkout page, fill all necessary fields, pick different shipping method and check that 'Order Total' section has changed on new shipping method price",""
"broken","Wed Jul 16 15:37:59 GMT 2025","Wed Jul 16 15:38:14 GMT 2025","15022","","UI.Tests.SingInTests","","UI.Tests.SingInTests","successfulSignIn","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, lastname, click 'Sign In' button and check that authorization was successful",""
"passed","Wed Jul 16 15:27:29 GMT 2025","Wed Jul 16 15:27:30 GMT 2025","776","","API.Tests.CartTests","","API.Tests.CartTests","deleteItemWhichIsNotInTheCart","Add item to the cart, delete it using empty itemID and check status code",""
"passed","Wed Jul 16 15:27:39 GMT 2025","Wed Jul 16 15:28:14 GMT 2025","34960","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Wed Jul 16 15:29:28 GMT 2025","Wed Jul 16 15:30:06 GMT 2025","37947","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemChangeQuantityAndCheckIt","Add item to the bag, edit it's amount, check that amount and price have changed",""
"passed","Wed Jul 16 15:27:38 GMT 2025","Wed Jul 16 15:27:38 GMT 2025","149","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsUsingEmptyQuery","Search all items using empty query and check status code",""
"passed","Wed Jul 16 15:27:38 GMT 2025","Wed Jul 16 15:27:38 GMT 2025","174","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameUsingInvalidPath","Search all items by name using invalid path and check status code",""
"passed","Wed Jul 16 15:27:30 GMT 2025","Wed Jul 16 15:27:30 GMT 2025","168","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"broken","Wed Jul 16 15:38:14 GMT 2025","Wed Jul 16 15:38:34 GMT 2025","19865","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Wed Jul 16 15:37:06 GMT 2025","Wed Jul 16 15:37:28 GMT 2025","22127","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxTest","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that the filter has appeared",""
"passed","Wed Jul 16 15:35:39 GMT 2025","Wed Jul 16 15:36:10 GMT 2025","31040","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBagAndCheckTransition","On current item's page pick size, click 'Add to bag', get info about added to bag item, check that added to bag modal has appeared, then go to basket and check url and compare info about item",""
"passed","Wed Jul 16 15:27:31 GMT 2025","Wed Jul 16 15:27:31 GMT 2025","762","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmount","Add item to the cart, change amount of added to the cart item and check status code",""
"passed","Wed Jul 16 15:33:50 GMT 2025","Wed Jul 16 15:33:56 GMT 2025","6139","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchForNonExistingItem","Type name of non-existing item in the 'Search' field and check message",""
"passed","Wed Jul 16 15:33:56 GMT 2025","Wed Jul 16 15:34:01 GMT 2025","5020","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","typeWithMistakeAndCheckSuggestion","Type the name of the item in the search field and make mistake in one letter - check that simial type of items with correct name has appeared in dropdown",""
"passed","Wed Jul 16 15:27:30 GMT 2025","Wed Jul 16 15:27:31 GMT 2025","777","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
