"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 14 16:41:57 GMT 2025","Mon Jul 14 16:42:13 GMT 2025","16036","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Mon Jul 14 16:31:13 GMT 2025","Mon Jul 14 16:31:14 GMT 2025","947","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmountForInvalidValue","Add item to the cart, change amount of added to the cart item for negative and check status code",""
"broken","Mon Jul 14 16:35:59 GMT 2025","Mon Jul 14 16:36:19 GMT 2025","20808","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"passed","Mon Jul 14 16:36:19 GMT 2025","Mon Jul 14 16:36:27 GMT 2025","7958","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithInvalidEmail","Type invalid email, valid first name, valid last name, password, confirm password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Mon Jul 14 16:31:16 GMT 2025","Mon Jul 14 16:31:16 GMT 2025","774","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmount","Add item to the cart, change amount of added to the cart item and check status code",""
"passed","Mon Jul 14 16:31:22 GMT 2025","Mon Jul 14 16:31:22 GMT 2025","169","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsUsingEmptyQuery","Search all items using empty query and check status code",""
"broken","Mon Jul 14 16:41:44 GMT 2025","Mon Jul 14 16:41:57 GMT 2025","12844","","UI.Tests.SingInTests","","UI.Tests.SingInTests","successfulSignIn","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, lastname, click 'Sign In' button and check that authorization was successful",""
"passed","Mon Jul 14 16:31:24 GMT 2025","Mon Jul 14 16:31:58 GMT 2025","34501","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Mon Jul 14 16:35:15 GMT 2025","Mon Jul 14 16:35:50 GMT 2025","35094","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status, value of shipping progress bar and prices",""
"passed","Mon Jul 14 16:31:22 GMT 2025","Mon Jul 14 16:31:22 GMT 2025","176","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameUsingInvalidPath","Search all items by name using invalid path and check status code",""
"passed","Mon Jul 14 16:39:47 GMT 2025","Mon Jul 14 16:40:06 GMT 2025","18225","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickRadioOnlineOnly","On 'Men's Jeans' page click on 'Online Exclusives' radio and check its state",""
"passed","Mon Jul 14 16:42:13 GMT 2025","Mon Jul 14 16:42:18 GMT 2025","5415","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidFirstName","Go to 'Sign In' modal inside 'Account' modal, type invalid firstname, valid password, click 'Sign In' button and check message",""
"passed","Mon Jul 14 16:31:15 GMT 2025","Mon Jul 14 16:31:16 GMT 2025","606","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
"passed","Mon Jul 14 16:37:19 GMT 2025","Mon Jul 14 16:37:24 GMT 2025","4711","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","Type name of the item in the 'Search' field and check that dropdown is visible",""
"passed","Mon Jul 14 16:37:36 GMT 2025","Mon Jul 14 16:38:03 GMT 2025","26580","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeFromDropdownTest","On current item's page click 'Size' button, check that dropdown is visible, scroll to first size, click on it and check that size have appeared",""
"passed","Mon Jul 14 16:31:58 GMT 2025","Mon Jul 14 16:32:04 GMT 2025","6008","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","goToBagCheckHeaderAndUrl","Click on bag button, check text of page's header and url",""
"passed","Mon Jul 14 16:31:16 GMT 2025","Mon Jul 14 16:31:17 GMT 2025","698","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeID","Add item to the cart, change itemID of the added to the cart item and check status code",""
"passed","Mon Jul 14 16:31:10 GMT 2025","Mon Jul 14 16:31:12 GMT 2025","1471","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postGuestTokenWithInvalidContentType","Post request for guest token for authorization using invalid value for grant type and check status code",""
"passed","Mon Jul 14 16:31:20 GMT 2025","Mon Jul 14 16:31:21 GMT 2025","1096","","API.Tests.CartTests","","API.Tests.CartTests","addItemDeleteItAndCheckCart","Add item to the cart, delete it, check that there is no deleted item in the cart and status code",""
"passed","Mon Jul 14 16:31:19 GMT 2025","Mon Jul 14 16:31:19 GMT 2025","807","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndDeleteIt","Add item to the cart, delete it and check status code",""
"passed","Mon Jul 14 16:34:47 GMT 2025","Mon Jul 14 16:35:15 GMT 2025","27790","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemUsingSearchAndCheckItemAndShipping","Add item to the bag, using search and quick shop, which price is bigger than 75$, check that items name and price from search and bag are identical and check status of shipping progress bar",""
"passed","Mon Jul 14 16:37:00 GMT 2025","Mon Jul 14 16:37:08 GMT 2025","7974","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
