"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 16:11:30 GMT 2025","Mon Jul 14 16:11:31 GMT 2025","399","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestTokenCheckBody","Post request for guest token for authorization, check status code and response body",""
"passed","Mon Jul 14 16:18:18 GMT 2025","Mon Jul 14 16:18:40 GMT 2025","21701","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","changeRadioColorAndChekStateAndPhotos","On current item's page find selected color radio, check that it is selected, click on other first available radio and check that radios states have changed",""
"broken","Mon Jul 14 16:15:50 GMT 2025","Mon Jul 14 16:16:12 GMT 2025","21695","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"broken","Mon Jul 14 16:21:44 GMT 2025","Mon Jul 14 16:21:59 GMT 2025","15127","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Mon Jul 14 16:21:20 GMT 2025","Mon Jul 14 16:21:26 GMT 2025","5389","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, invalid password, click 'Sign In' button and check message",""
"passed","Mon Jul 14 16:11:39 GMT 2025","Mon Jul 14 16:12:08 GMT 2025","28820","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Mon Jul 14 16:16:51 GMT 2025","Mon Jul 14 16:16:58 GMT 2025","7505","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
"passed","Mon Jul 14 16:16:58 GMT 2025","Mon Jul 14 16:17:02 GMT 2025","4316","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","clickSearchAndCheckModal","Click on Loupe-like button and switch to a modal window with Search",""
"passed","Mon Jul 14 16:11:38 GMT 2025","Mon Jul 14 16:11:39 GMT 2025","1347","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameAndCheckNames","Search all items by name, check that their names contain the requested text and check status code",""
"passed","Mon Jul 14 16:13:13 GMT 2025","Mon Jul 14 16:13:47 GMT 2025","33693","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemChangeQuantityAndCheckIt","Add item to the bag, edit it's amount, check that amount and price have changed",""
"passed","Mon Jul 14 16:16:26 GMT 2025","Mon Jul 14 16:16:31 GMT 2025","5465","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","transitionToCreateAnAccountPage","Go to 'Create an Account' page and check url and page's header text",""
"broken","Mon Jul 14 16:16:31 GMT 2025","Mon Jul 14 16:16:43 GMT 2025","12253","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Mon Jul 14 16:13:47 GMT 2025","Mon Jul 14 16:14:20 GMT 2025","33237","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckPriceInBagAndCheckout","Add item to the bag, click on 'Let's Check Out' button and check that price in the bag page is the same as in checkout page",""
