"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 14:16:13 GMT 2025","Mon Jul 14 14:16:56 GMT 2025","43238","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemChangeQuantityAndCheckIt","Add item to the bag, edit it's amount, check that amount and price have changed",""
"passed","Mon Jul 14 14:18:21 GMT 2025","Mon Jul 14 14:18:53 GMT 2025","31999","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status, value of shipping progress bar and prices",""
"passed","Mon Jul 14 14:14:38 GMT 2025","Mon Jul 14 14:15:08 GMT 2025","30280","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Mon Jul 14 14:14:34 GMT 2025","Mon Jul 14 14:14:34 GMT 2025","109","","API.Tests.CartTests","","API.Tests.CartTests","addItemWithNonExistingID","Add item to the cart with non-existing ID and check status code",""
"passed","Mon Jul 14 14:14:33 GMT 2025","Mon Jul 14 14:14:34 GMT 2025","759","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeAmountCheckCart","Add item to the cart, change amount of added to the cart item and check that amount has changed",""
"passed","Mon Jul 14 14:14:29 GMT 2025","Mon Jul 14 14:14:30 GMT 2025","367","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestTokenCheckBody","Post request for guest token for authorization, check status code and response body",""
"passed","Mon Jul 14 14:14:34 GMT 2025","Mon Jul 14 14:14:34 GMT 2025","77","","API.Tests.CartTests","","API.Tests.CartTests","addItemUsingInvalidPath","Add item to the cart with invalid path and check status code",""
"passed","Mon Jul 14 14:24:30 GMT 2025","Mon Jul 14 14:24:38 GMT 2025","8444","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid password, click 'Forgot Password' button and check message",""
"passed","Mon Jul 14 14:24:13 GMT 2025","Mon Jul 14 14:24:30 GMT 2025","16702","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToCurrentItemsPage","On 'Men's Jeans' page scroll to the first item, move cursor to it, click and check url",""
"passed","Mon Jul 14 14:14:31 GMT 2025","Mon Jul 14 14:14:32 GMT 2025","108","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"passed","Mon Jul 14 14:18:53 GMT 2025","Mon Jul 14 14:19:01 GMT 2025","8178","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithTooBigPassword","Type valid email, first name, last name, invalid password, confirm invalid password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"broken","Mon Jul 14 14:24:55 GMT 2025","Mon Jul 14 14:25:09 GMT 2025","14666","","UI.Tests.SingInTests","","UI.Tests.SingInTests","successfulSignIn","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, lastname, click 'Sign In' button and check that authorization was successful",""
"passed","Mon Jul 14 14:14:30 GMT 2025","Mon Jul 14 14:14:30 GMT 2025","105","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestToken","Post request for guest token for authorization and check status code",""
"passed","Mon Jul 14 14:14:34 GMT 2025","Mon Jul 14 14:14:34 GMT 2025","495","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndDeleteIt","Add item to the cart, delete it and check status code",""
"passed","Mon Jul 14 14:17:31 GMT 2025","Mon Jul 14 14:17:59 GMT 2025","27333","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemRemoveItAndCheck","Add item to the bag, remove it and check that bag is empty",""
"broken","Mon Jul 14 14:19:42 GMT 2025","Mon Jul 14 14:19:54 GMT 2025","12684","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"broken","Mon Jul 14 14:19:01 GMT 2025","Mon Jul 14 14:19:22 GMT 2025","20512","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"passed","Mon Jul 14 14:25:25 GMT 2025","Mon Jul 14 14:25:32 GMT 2025","6761","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidFirstName","Go to 'Sign In' modal inside 'Account' modal, type invalid firstname, valid password, click 'Sign In' button and check message",""
"passed","Mon Jul 14 14:21:30 GMT 2025","Mon Jul 14 14:21:51 GMT 2025","20470","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","changeRadioColorAndChekStateAndPhotos","On current item's page find selected color radio, check that it is selected, click on other first available radio and check that radios states have changed",""
"passed","Mon Jul 14 14:15:13 GMT 2025","Mon Jul 14 14:16:13 GMT 2025","59428","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckOutChangeShippingAndCheckPrice","Add item to the bag, to go checkout page, fill all necessary fields, pick different shipping method and check that 'Order Total' section has changed on new shipping method price",""
"passed","Mon Jul 14 14:20:33 GMT 2025","Mon Jul 14 14:20:39 GMT 2025","5529","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","typeWithMistakeAndCheckSuggestion","Type the name of the item in the search field and make mistake in one letter - check that simial type of items with correct name has appeared in dropdown",""
"passed","Mon Jul 14 14:15:08 GMT 2025","Mon Jul 14 14:15:13 GMT 2025","5278","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","goToBagCheckHeaderAndUrl","Click on bag button, check text of page's header and url",""
"passed","Mon Jul 14 14:14:31 GMT 2025","Mon Jul 14 14:14:31 GMT 2025","601","","API.Tests.CartTests","","API.Tests.CartTests","deleteItemWhichIsNotInTheCart","Add item to the cart, delete it using empty itemID and check status code",""
"passed","Mon Jul 14 14:14:36 GMT 2025","Mon Jul 14 14:14:36 GMT 2025","315","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByName","Search all items by name and check status code",""
"passed","Mon Jul 14 14:21:51 GMT 2025","Mon Jul 14 14:22:16 GMT 2025","25468","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","checkAndChangeAmount","On current item's page check that you can't change amount of item before you choose size, than change amount of item and check it",""
"broken","Mon Jul 14 14:25:09 GMT 2025","Mon Jul 14 14:25:25 GMT 2025","15812","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Mon Jul 14 14:20:39 GMT 2025","Mon Jul 14 14:21:04 GMT 2025","25033","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeFromDropdownTest","On current item's page click 'Size' button, check that dropdown is visible, scroll to first size, click on it and check that size have appeared",""
"passed","Mon Jul 14 14:14:28 GMT 2025","Mon Jul 14 14:14:29 GMT 2025","1496","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postGuestTokenWithInvalidContentType","Post request for guest token for authorization using invalid value for grant type and check status code",""
"passed","Mon Jul 14 14:19:29 GMT 2025","Mon Jul 14 14:19:36 GMT 2025","7221","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Mon Jul 14 14:14:32 GMT 2025","Mon Jul 14 14:14:32 GMT 2025","392","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
