"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 12 13:49:24 GMT 2025","Sat Jul 12 13:49:33 GMT 2025","8603","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongConfirmPassword","Type valid email, first name, last name, valid password, confirm password incorrectly, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Sat Jul 12 13:47:46 GMT 2025","Sat Jul 12 13:48:21 GMT 2025","34458","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status and value of shipping progress bar",""
"passed","Sat Jul 12 13:44:08 GMT 2025","Sat Jul 12 13:44:08 GMT 2025","399","","API.Tests.CartTests","","API.Tests.CartTests","addItemToCart","Add item to the cart and check status code",""
"passed","Sat Jul 12 13:49:41 GMT 2025","Sat Jul 12 13:49:45 GMT 2025","4726","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","clickSearchAndCheckModal","Click on Loupe-like button and switch to a modal window with Search",""
"passed","Sat Jul 12 13:48:59 GMT 2025","Sat Jul 12 13:49:06 GMT 2025","7321","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"broken","Sat Jul 12 13:49:11 GMT 2025","Sat Jul 12 13:49:24 GMT 2025","12912","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Sat Jul 12 13:53:38 GMT 2025","Sat Jul 12 13:53:54 GMT 2025","16095","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToCurrentItemsPage","On 'Men's Jeans' page scroll to the first item, move cursor to it, click and check url",""
"broken","Sat Jul 12 13:54:12 GMT 2025","Sat Jul 12 13:54:25 GMT 2025","13113","","UI.Tests.SingInTests","","UI.Tests.SingInTests","successfulSignIn","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, lastname, click 'Sign In' button and check that authorization was successful",""
"passed","Sat Jul 12 13:46:12 GMT 2025","Sat Jul 12 13:46:48 GMT 2025","35590","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckPriceInBagAndCheckout","Add item to the bag, click on 'Let's Check Out' button and check that price in the bag page is the same as in checkout page",""
"passed","Sat Jul 12 13:50:05 GMT 2025","Sat Jul 12 13:50:10 GMT 2025","5600","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","typeWithMistakeAndCheckSuggestion","Type the name of the item in the search field and make mistake in one letter - check that item with correct name has appeared in dropdown",""
"passed","Sat Jul 12 13:51:26 GMT 2025","Sat Jul 12 13:51:50 GMT 2025","24668","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","checkAndChangeAmount","On current item's page check that you can't change amount of item before you choose size, than change amount of item and check it",""
"broken","Sat Jul 12 13:45:33 GMT 2025","Sat Jul 12 13:46:12 GMT 2025","38519","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemChangeQuantityAndCheckIt","Add item to the bag, edit it's amount, check that amount and price have changed",""
