"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 18:26:34 GMT 2025","Fri Jul 11 18:26:40 GMT 2025","6378","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Fri Jul 11 18:27:59 GMT 2025","Fri Jul 11 18:28:26 GMT 2025","27203","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBag","On current item's page pick size, click 'Add to bag' and check that 'Added to Bag' modal has appeared",""
"passed","Fri Jul 11 18:21:48 GMT 2025","Fri Jul 11 18:21:48 GMT 2025","135","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"passed","Fri Jul 11 18:25:59 GMT 2025","Fri Jul 11 18:26:07 GMT 2025","7682","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithTooBigPassword","Type valid email, first name, last name, invalid password, confirm invalid password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Fri Jul 11 18:21:44 GMT 2025","Fri Jul 11 18:21:46 GMT 2025","1384","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postGuestTokenWithInvalidContentType","Post request for guest token for authorization using invalid value for grant type and check status code",""
"passed","Fri Jul 11 18:27:04 GMT 2025","Fri Jul 11 18:27:10 GMT 2025","6326","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
"passed","Fri Jul 11 18:21:51 GMT 2025","Fri Jul 11 18:21:52 GMT 2025","816","","API.Tests.CartTests","","API.Tests.CartTests","addItemDeleteItAndCheckCart","Add item to the cart, delete it, check that there is no deleted item in the cart and status code",""
"broken","Fri Jul 11 18:26:07 GMT 2025","Fri Jul 11 18:26:27 GMT 2025","19847","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"passed","Fri Jul 11 18:21:53 GMT 2025","Fri Jul 11 18:21:53 GMT 2025","323","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByName","Search all items by name and check status code",""
"passed","Fri Jul 11 18:21:51 GMT 2025","Fri Jul 11 18:21:51 GMT 2025","381","","API.Tests.CartTests","","API.Tests.CartTests","addItemCheckCartIDAndItemPresence","Add item to the cart, check status code, check response body and check that item is in the cart",""
"broken","Fri Jul 11 18:29:50 GMT 2025","Fri Jul 11 18:30:00 GMT 2025","9698","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxAndDisableFilter","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that it is checked and disable it by clicking on appeared filter button",""
"passed","Fri Jul 11 18:27:35 GMT 2025","Fri Jul 11 18:27:59 GMT 2025","24326","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeFromDropdownTest","On current item's page click 'Size' button, check that dropdown is visible, scroll to first size, click on it and check that size have appeared",""
"passed","Fri Jul 11 18:31:08 GMT 2025","Fri Jul 11 18:31:13 GMT 2025","4845","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidFirstName","Go to 'Sign In' modal inside 'Account' modal, type invalid firstname, valid password, click 'Sign In' button and check message",""
"passed","Fri Jul 11 18:21:48 GMT 2025","Fri Jul 11 18:21:49 GMT 2025","478","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
"broken","Fri Jul 11 18:30:09 GMT 2025","Fri Jul 11 18:30:17 GMT 2025","8478","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxTest","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that the filter has appeared",""
"passed","Fri Jul 11 18:21:50 GMT 2025","Fri Jul 11 18:21:50 GMT 2025","777","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeAmountCheckCart","Add item to the cart, change amount of added to the cart item and check that amount has changed",""
"passed","Fri Jul 11 18:21:53 GMT 2025","Fri Jul 11 18:21:54 GMT 2025","1273","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameAndCheckNames","Search all items by name, check that their names contain the requested text and check status code",""
"passed","Fri Jul 11 18:29:12 GMT 2025","Fri Jul 11 18:29:41 GMT 2025","29209","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBagAndCheckTransition","On current item's page pick size, click 'Add to bag', get info about added to bag item, check that added to bag modal has appeared, then go to basket and check url and compare info about item",""
"failed","Fri Jul 11 18:31:13 GMT 2025","Fri Jul 11 18:31:18 GMT 2025","4953","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooSmallPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with less than 8 characters, click 'Sign In' button and check message",""
"passed","Fri Jul 11 18:22:28 GMT 2025","Fri Jul 11 18:22:33 GMT 2025","5018","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","goToBagCheckHeaderAndUrl","Click on bag button, check text of page's header and url",""
"passed","Fri Jul 11 18:21:49 GMT 2025","Fri Jul 11 18:21:49 GMT 2025","526","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmount","Add item to the cart, change amount of added to the cart item and check status code",""
"failed","Fri Jul 11 18:30:30 GMT 2025","Fri Jul 11 18:30:35 GMT 2025","5174","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, invalid password, click 'Sign In' button and check message",""
"passed","Fri Jul 11 18:21:47 GMT 2025","Fri Jul 11 18:21:48 GMT 2025","562","","API.Tests.CartTests","","API.Tests.CartTests","deleteItemWhichIsNotInTheCart","Add item to the cart, delete it using empty itemID and check status code",""
