"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 16:21:29 GMT 2025","Fri Jul 18 16:22:06 GMT 2025","37313","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status, value of shipping progress bar and prices",""
"passed","Fri Jul 18 16:17:29 GMT 2025","Fri Jul 18 16:17:30 GMT 2025","689","","API.Tests.CartTests","","API.Tests.CartTests","deleteItemWhichIsNotInTheCart","Add item to the cart, delete it using empty itemID and check status code",""
"passed","Fri Jul 18 16:17:31 GMT 2025","Fri Jul 18 16:17:32 GMT 2025","839","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmount","Add item to the cart, change amount of added to the cart item and check status code",""
"passed","Fri Jul 18 16:23:30 GMT 2025","Fri Jul 18 16:23:37 GMT 2025","6948","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
"passed","Fri Jul 18 16:27:53 GMT 2025","Fri Jul 18 16:27:59 GMT 2025","5611","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, invalid password, click 'Sign In' button and check message",""
"passed","Fri Jul 18 16:23:48 GMT 2025","Fri Jul 18 16:23:52 GMT 2025","4404","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","Type name of the item in the 'Search' field and check that dropdown is visible",""
"passed","Fri Jul 18 16:17:32 GMT 2025","Fri Jul 18 16:17:33 GMT 2025","964","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeAmountCheckCart","Add item to the cart, change amount of added to the cart item and check that amount has changed",""
"passed","Fri Jul 18 16:23:37 GMT 2025","Fri Jul 18 16:23:41 GMT 2025","4182","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","clickSearchAndCheckModal","Click on Loupe-like button and switch to a modal window with Search",""
"passed","Fri Jul 18 16:22:06 GMT 2025","Fri Jul 18 16:22:15 GMT 2025","9091","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithTooBigPassword","Type valid email, first name, last name, invalid password, confirm invalid password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Fri Jul 18 16:27:46 GMT 2025","Fri Jul 18 16:27:53 GMT 2025","6821","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid password, click 'Forgot Password' button and check message",""
"passed","Fri Jul 18 16:17:36 GMT 2025","Fri Jul 18 16:17:36 GMT 2025","404","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByName","Search all items by name and check status code",""
"passed","Fri Jul 18 16:17:32 GMT 2025","Fri Jul 18 16:17:32 GMT 2025","552","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeID","Add item to the cart, change itemID of the added to the cart item and check status code",""
"passed","Fri Jul 18 16:18:14 GMT 2025","Fri Jul 18 16:19:21 GMT 2025","66921","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckOutChangeShippingAndCheckPrice","Add item to the bag, to go checkout page, fill all necessary fields, pick different shipping method and check that 'Order Total' section has changed on new shipping method price",""
"passed","Fri Jul 18 16:17:28 GMT 2025","Fri Jul 18 16:17:28 GMT 2025","446","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestTokenCheckBody","Post request for guest token for authorization, check status code and response body",""
"passed","Fri Jul 18 16:17:36 GMT 2025","Fri Jul 18 16:17:36 GMT 2025","98","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsUsingEmptyQuery","Search all items using empty query and check status code",""
