"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 01:07:14 GMT 2025","Sun Jul 13 01:07:14 GMT 2025","742","","API.Tests.CartTests","","API.Tests.CartTests","addItemDeleteItAndCheckCart","Add item to the cart, delete it, check that there is no deleted item in the cart and status code",""
"passed","Sun Jul 13 01:15:36 GMT 2025","Sun Jul 13 01:16:08 GMT 2025","31927","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxAndDisableFilter","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that it is checked and disable it by clicking on appeared filter button",""
"passed","Sun Jul 13 01:12:50 GMT 2025","Sun Jul 13 01:12:55 GMT 2025","4509","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","type name of the item in the 'Search' field and check that dropdown is visible",""
"passed","Sun Jul 13 01:12:09 GMT 2025","Sun Jul 13 01:12:14 GMT 2025","5048","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","transitionToCreateAnAccountPage","Go to 'Create an Account' page and check url and page's header text",""
"broken","Sun Jul 13 01:11:35 GMT 2025","Sun Jul 13 01:11:55 GMT 2025","20209","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"passed","Sun Jul 13 01:16:08 GMT 2025","Sun Jul 13 01:16:17 GMT 2025","8621","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToMeansJeans","Move cursor to Men's section, click on Jeans link, check url and subtitle",""
"passed","Sun Jul 13 01:07:05 GMT 2025","Sun Jul 13 01:07:06 GMT 2025","301","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postGuestTokenWithInvalidAuthValue","Post request for guest token for authorization using invalid Authorization header value and check status code",""
"passed","Sun Jul 13 01:07:13 GMT 2025","Sun Jul 13 01:07:13 GMT 2025","91","","API.Tests.CartTests","","API.Tests.CartTests","addItemUsingInvalidPath","Add item to the cart with invalid path and check status code",""
"passed","Sun Jul 13 01:11:27 GMT 2025","Sun Jul 13 01:11:35 GMT 2025","7673","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithTooBigPassword","Type valid email, first name, last name, invalid password, confirm invalid password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"broken","Sun Jul 13 01:12:14 GMT 2025","Sun Jul 13 01:12:26 GMT 2025","12035","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Sun Jul 13 01:12:02 GMT 2025","Sun Jul 13 01:12:09 GMT 2025","6704","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Sun Jul 13 01:14:23 GMT 2025","Sun Jul 13 01:14:49 GMT 2025","26029","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","checkAndChangeAmount","On current item's page check that you can't change amount of item before you choose size, than change amount of item and check it",""
"passed","Sun Jul 13 01:07:09 GMT 2025","Sun Jul 13 01:07:09 GMT 2025","583","","API.Tests.CartTests","","API.Tests.CartTests","deleteItemWhichIsNotInTheCart","Add item to the cart, delete it using empty itemID and check status code",""
"passed","Sun Jul 13 01:07:08 GMT 2025","Sun Jul 13 01:07:08 GMT 2025","125","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestToken","Post request for guest token for authorization and check status code",""
"passed","Sun Jul 13 01:09:56 GMT 2025","Sun Jul 13 01:10:25 GMT 2025","28588","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemRemoveItAndCheck","Add item to the bag, remove it and check that that bag is empty",""
"passed","Sun Jul 13 01:07:16 GMT 2025","Sun Jul 13 01:07:45 GMT 2025","28813","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Sun Jul 13 01:07:09 GMT 2025","Sun Jul 13 01:07:10 GMT 2025","138","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"broken","Sun Jul 13 01:17:21 GMT 2025","Sun Jul 13 01:17:37 GMT 2025","15958","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Sun Jul 13 01:07:08 GMT 2025","Sun Jul 13 01:07:09 GMT 2025","648","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmountForInvalidValue","Add item to the cart, change amount of added to the cart item for negative and check status code",""
"passed","Sun Jul 13 01:07:10 GMT 2025","Sun Jul 13 01:07:10 GMT 2025","531","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
"broken","Sun Jul 13 01:17:42 GMT 2025","Sun Jul 13 01:17:59 GMT 2025","16605","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooSmallPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with less than 8 characters, click 'Sign In' button and check message",""
"passed","Sun Jul 13 01:12:44 GMT 2025","Sun Jul 13 01:12:50 GMT 2025","6306","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchItemsAndCheckUrlAndSubtitle","Type name of the item in the 'Search' field, click on Loupe-like button and check url and status code",""
"passed","Sun Jul 13 01:15:19 GMT 2025","Sun Jul 13 01:15:36 GMT 2025","17589","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickRadioOnlineOnly","On 'Men's Jeans' page click on 'Online Exclusives' radio and check its state",""
"passed","Sun Jul 13 01:12:33 GMT 2025","Sun Jul 13 01:12:40 GMT 2025","6932","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
"passed","Sun Jul 13 01:07:12 GMT 2025","Sun Jul 13 01:07:13 GMT 2025","595","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndDeleteIt","Add item to the cart, delete it and check status code",""
"passed","Sun Jul 13 01:07:45 GMT 2025","Sun Jul 13 01:07:50 GMT 2025","5186","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","goToBagCheckHeaderAndUrl","Click on bag button, check text of page's header and url",""
"passed","Sun Jul 13 01:13:08 GMT 2025","Sun Jul 13 01:13:34 GMT 2025","25585","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeFromDropdownTest","On current item's page click 'Size' button, check that dropdown is visible, scroll to first size, click on it and check that size have appeared",""
"passed","Sun Jul 13 01:07:15 GMT 2025","Sun Jul 13 01:07:15 GMT 2025","80","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsUsingEmptyQuery","Search all items using empty query and check status code",""
"passed","Sun Jul 13 01:11:55 GMT 2025","Sun Jul 13 01:12:02 GMT 2025","7176","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithInvalidEmail","Type invalid email, valid first name, valid last name, password, confirm password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Sun Jul 13 01:07:15 GMT 2025","Sun Jul 13 01:07:16 GMT 2025","1108","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameAndCheckNames","Search all items by name, check that their names contain the requested text and check status code",""
"passed","Sun Jul 13 01:16:39 GMT 2025","Sun Jul 13 01:16:54 GMT 2025","14689","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToCurrentItemsPage","On 'Men's Jeans' page scroll to the first item, move cursor to it, click and check url",""
"passed","Sun Jul 13 01:14:49 GMT 2025","Sun Jul 13 01:15:19 GMT 2025","29982","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBagAndCheckTransition","On current item's page pick size, click 'Add to bag', get info about added to bag item, check that added to bag modal has appeared, then go to basket and check url and compare info about item",""
