"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 15 21:43:15 GMT 2025","Tue Jul 15 21:43:16 GMT 2025","587","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndDeleteIt","Add item to the cart, delete it and check status code",""
"broken","Tue Jul 15 21:46:27 GMT 2025","Tue Jul 15 21:46:43 GMT 2025","15737","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemUsingSearchAndCheckItemAndShipping","Add item to the bag, using search and quick shop, which price is bigger than 75$, check that items name and price from search and bag are identical and check status of shipping progress bar",""
"passed","Tue Jul 15 21:43:13 GMT 2025","Tue Jul 15 21:43:14 GMT 2025","502","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeID","Add item to the cart, change itemID of the added to the cart item and check status code",""
"passed","Tue Jul 15 21:44:51 GMT 2025","Tue Jul 15 21:45:23 GMT 2025","32041","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemChangeQuantityAndCheckIt","Add item to the bag, edit it's amount, check that amount and price have changed",""
"passed","Tue Jul 15 21:48:42 GMT 2025","Tue Jul 15 21:48:47 GMT 2025","4673","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","typeWithMistakeAndCheckSuggestion","Type the name of the item in the search field and make mistake in one letter - check that simial type of items with correct name has appeared in dropdown",""
"passed","Tue Jul 15 21:43:19 GMT 2025","Tue Jul 15 21:43:48 GMT 2025","28743","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Tue Jul 15 21:43:17 GMT 2025","Tue Jul 15 21:43:17 GMT 2025","327","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByName","Search all items by name and check status code",""
"passed","Tue Jul 15 21:43:16 GMT 2025","Tue Jul 15 21:43:16 GMT 2025","568","","API.Tests.CartTests","","API.Tests.CartTests","addItemCheckCartIDAndItemPresence","Add item to the cart, check status code, check response body and check that item is in the cart",""
"passed","Tue Jul 15 21:51:08 GMT 2025","Tue Jul 15 21:51:38 GMT 2025","30570","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxAndDisableFilter","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that it is checked and disable it by clicking on appeared filter button",""
"passed","Tue Jul 15 21:43:12 GMT 2025","Tue Jul 15 21:43:12 GMT 2025","101","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"passed","Tue Jul 15 21:43:11 GMT 2025","Tue Jul 15 21:43:12 GMT 2025","814","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmountForInvalidValue","Add item to the cart, change amount of added to the cart item for negative and check status code",""
"passed","Tue Jul 15 21:49:57 GMT 2025","Tue Jul 15 21:50:22 GMT 2025","25455","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","checkAndChangeAmount","On current item's page check that you can't change amount of item before you choose size, than change amount of item and check it",""
"passed","Tue Jul 15 21:46:00 GMT 2025","Tue Jul 15 21:46:27 GMT 2025","27601","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemRemoveItAndCheck","Add item to the bag, remove it and check that bag is empty",""
