"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 11:08:15 GMT 2025","Sun Jul 13 11:08:49 GMT 2025","33409","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status, value of shipping progress bar and prices",""
"passed","Sun Jul 13 11:10:09 GMT 2025","Sun Jul 13 11:10:16 GMT 2025","6356","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchItemsAndCheckUrlAndSubtitle","Type name of the item in the 'Search' field, click on Loupe-like button and check url and status code",""
"passed","Sun Jul 13 11:14:17 GMT 2025","Sun Jul 13 11:14:23 GMT 2025","5165","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, invalid password, click 'Sign In' button and check message",""
"passed","Sun Jul 13 11:12:09 GMT 2025","Sun Jul 13 11:12:38 GMT 2025","28955","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBagAndCheckTransition","On current item's page pick size, click 'Add to bag', get info about added to bag item, check that added to bag modal has appeared, then go to basket and check url and compare info about item",""
"passed","Sun Jul 13 11:14:12 GMT 2025","Sun Jul 13 11:14:17 GMT 2025","5136","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid password, click 'Forgot Password' button and check message",""
"passed","Sun Jul 13 11:09:30 GMT 2025","Sun Jul 13 11:09:36 GMT 2025","5227","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","transitionToCreateAnAccountPage","Go to 'Create an Account' page and check url and page's header text",""
"passed","Sun Jul 13 11:04:41 GMT 2025","Sun Jul 13 11:04:42 GMT 2025","139","","API.Tests.CartTests","","API.Tests.CartTests","addItemWithNonExistingID","Add item to the cart with non-existing ID and check status code",""
"passed","Sun Jul 13 11:10:05 GMT 2025","Sun Jul 13 11:10:09 GMT 2025","4050","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","clickSearchAndCheckModal","Click on Loupe-like button and switch to a modal window with Search",""
"passed","Sun Jul 13 11:04:46 GMT 2025","Sun Jul 13 11:05:15 GMT 2025","29435","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Sun Jul 13 11:04:43 GMT 2025","Sun Jul 13 11:04:44 GMT 2025","750","","API.Tests.CartTests","","API.Tests.CartTests","addItemDeleteItAndCheckCart","Add item to the cart, delete it, check that there is no deleted item in the cart and status code",""
"passed","Sun Jul 13 11:14:23 GMT 2025","Sun Jul 13 11:14:28 GMT 2025","4925","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooBigPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with more than 25 characters, click 'Sign In' button and check message",""
"broken","Sun Jul 13 11:06:14 GMT 2025","Sun Jul 13 11:06:43 GMT 2025","29307","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemChangeQuantityAndCheckIt","Add item to the bag, edit it's amount, check that amount and price have changed",""
"passed","Sun Jul 13 11:04:39 GMT 2025","Sun Jul 13 11:04:39 GMT 2025","177","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"passed","Sun Jul 13 11:04:39 GMT 2025","Sun Jul 13 11:04:40 GMT 2025","757","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmount","Add item to the cart, change amount of added to the cart item and check status code",""
"passed","Sun Jul 13 11:09:24 GMT 2025","Sun Jul 13 11:09:30 GMT 2025","6394","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Sun Jul 13 11:04:44 GMT 2025","Sun Jul 13 11:04:44 GMT 2025","443","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByName","Search all items by name and check status code",""
"passed","Sun Jul 13 11:14:56 GMT 2025","Sun Jul 13 11:15:00 GMT 2025","4939","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidFirstName","Go to 'Sign In' modal inside 'Account' modal, type invalid firstname, valid password, click 'Sign In' button and check message",""
"passed","Sun Jul 13 11:09:58 GMT 2025","Sun Jul 13 11:10:05 GMT 2025","7150","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
"passed","Sun Jul 13 11:04:41 GMT 2025","Sun Jul 13 11:04:41 GMT 2025","793","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeAmountCheckCart","Add item to the cart, change amount of added to the cart item and check that amount has changed",""
"failed","Sun Jul 13 11:07:45 GMT 2025","Sun Jul 13 11:08:15 GMT 2025","30090","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemUsingSearchAndCheckItemAndShipping","Add item to the bag, using search and quick shop, which price is bigger than 75$, check that items name and price from search and bag are identical and check status of shipping progress bar",""
