"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 15:19:45 GMT 2025","Fri Jul 18 15:19:45 GMT 2025","178","","API.Tests.CartTests","","API.Tests.CartTests","addItemToCart","Add item to the cart and check status code",""
"passed","Fri Jul 18 15:26:00 GMT 2025","Fri Jul 18 15:26:05 GMT 2025","5026","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","typeWithMistakeAndCheckSuggestion","Type the name of the item in the search field and make mistake in one letter - check that simial type of items with correct name has appeared in dropdown",""
"passed","Fri Jul 18 15:19:42 GMT 2025","Fri Jul 18 15:19:42 GMT 2025","186","","API.Tests.CartTests","","API.Tests.CartTests","addItemWithNonExistingID","Add item to the cart with non-existing ID and check status code",""
"passed","Fri Jul 18 15:19:42 GMT 2025","Fri Jul 18 15:19:43 GMT 2025","887","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndDeleteIt","Add item to the cart, delete it and check status code",""
"passed","Fri Jul 18 15:19:43 GMT 2025","Fri Jul 18 15:19:44 GMT 2025","706","","API.Tests.CartTests","","API.Tests.CartTests","addItemCheckCartIDAndItemPresence","Add item to the cart, check status code, check response body and check that item is in the cart",""
"passed","Fri Jul 18 15:25:24 GMT 2025","Fri Jul 18 15:25:31 GMT 2025","6944","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongConfirmPassword","Type valid email, first name, last name, valid password, confirm password incorrectly, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Fri Jul 18 15:29:37 GMT 2025","Fri Jul 18 15:29:53 GMT 2025","15596","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToCurrentItemsPage","On 'Men's Jeans' page scroll to the first item, move cursor to it, click and check url",""
"passed","Fri Jul 18 15:24:18 GMT 2025","Fri Jul 18 15:24:26 GMT 2025","7764","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithTooBigPassword","Type valid email, first name, last name, invalid password, confirm invalid password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Fri Jul 18 15:19:35 GMT 2025","Fri Jul 18 15:19:36 GMT 2025","1373","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postGuestTokenWithInvalidContentType","Post request for guest token for authorization using invalid value for grant type and check status code",""
"passed","Fri Jul 18 15:27:17 GMT 2025","Fri Jul 18 15:27:43 GMT 2025","25243","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","checkAndChangeAmount","On current item's page check that you can't change amount of item before you choose size, than change amount of item and check it",""
"broken","Fri Jul 18 15:25:06 GMT 2025","Fri Jul 18 15:25:24 GMT 2025","17498","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Fri Jul 18 15:19:36 GMT 2025","Fri Jul 18 15:19:37 GMT 2025","395","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestTokenCheckBody","Post request for guest token for authorization, check status code and response body",""
"passed","Fri Jul 18 15:25:38 GMT 2025","Fri Jul 18 15:25:43 GMT 2025","4364","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","clickSearchAndCheckModal","Click on Loupe-like button and switch to a modal window with Search",""
"broken","Fri Jul 18 15:24:26 GMT 2025","Fri Jul 18 15:24:47 GMT 2025","20417","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"passed","Fri Jul 18 15:19:43 GMT 2025","Fri Jul 18 15:19:43 GMT 2025","145","","API.Tests.CartTests","","API.Tests.CartTests","addItemUsingInvalidPath","Add item to the cart with invalid path and check status code",""
"passed","Fri Jul 18 15:19:45 GMT 2025","Fri Jul 18 15:19:45 GMT 2025","348","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByName","Search all items by name and check status code",""
"passed","Fri Jul 18 15:24:47 GMT 2025","Fri Jul 18 15:24:53 GMT 2025","6784","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithInvalidEmail","Type invalid email, valid first name, valid last name, password, confirm password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Fri Jul 18 15:19:37 GMT 2025","Fri Jul 18 15:19:38 GMT 2025","848","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmountForInvalidValue","Add item to the cart, change amount of added to the cart item for negative and check status code",""
"passed","Fri Jul 18 15:30:05 GMT 2025","Fri Jul 18 15:30:10 GMT 2025","5295","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, invalid password, click 'Sign In' button and check message",""
"passed","Fri Jul 18 15:19:37 GMT 2025","Fri Jul 18 15:19:37 GMT 2025","140","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestToken","Post request for guest token for authorization and check status code",""
"broken","Fri Jul 18 15:30:59 GMT 2025","Fri Jul 18 15:31:14 GMT 2025","15289","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooSmallPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with less than 8 characters, click 'Sign In' button and check message",""
"passed","Fri Jul 18 15:19:41 GMT 2025","Fri Jul 18 15:19:42 GMT 2025","989","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeAmountCheckCart","Add item to the cart, change amount of added to the cart item and check that amount has changed",""
"passed","Fri Jul 18 15:25:43 GMT 2025","Fri Jul 18 15:25:49 GMT 2025","6597","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchItemsAndCheckUrlAndSubtitle","Type name of the item in the 'Search' field, click on Loupe-like button and check url and status code",""
"passed","Fri Jul 18 15:20:19 GMT 2025","Fri Jul 18 15:20:25 GMT 2025","6583","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","goToBagCheckHeaderAndUrl","Click on bag button, check text of page's header and url",""
"passed","Fri Jul 18 15:29:16 GMT 2025","Fri Jul 18 15:29:37 GMT 2025","21636","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxTest","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that the filter has appeared",""
"passed","Fri Jul 18 15:20:25 GMT 2025","Fri Jul 18 15:21:32 GMT 2025","66447","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckOutChangeShippingAndCheckPrice","Add item to the bag, to go checkout page, fill all necessary fields, pick different shipping method and check that 'Order Total' section has changed on new shipping method price",""
"passed","Fri Jul 18 15:24:53 GMT 2025","Fri Jul 18 15:25:00 GMT 2025","6961","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Fri Jul 18 15:19:40 GMT 2025","Fri Jul 18 15:19:40 GMT 2025","590","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndChangeAmount","Add item to the cart, change amount of added to the cart item and check status code",""
"passed","Fri Jul 18 15:19:44 GMT 2025","Fri Jul 18 15:19:45 GMT 2025","837","","API.Tests.CartTests","","API.Tests.CartTests","addItemDeleteItAndCheckCart","Add item to the cart, delete it, check that there is no deleted item in the cart and status code",""
"passed","Fri Jul 18 15:19:39 GMT 2025","Fri Jul 18 15:19:39 GMT 2025","152","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"passed","Fri Jul 18 15:21:32 GMT 2025","Fri Jul 18 15:22:08 GMT 2025","35606","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemChangeQuantityAndCheckIt","Add item to the bag, edit it's amount, check that amount and price have changed",""
"passed","Fri Jul 18 15:25:00 GMT 2025","Fri Jul 18 15:25:06 GMT 2025","5869","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","transitionToCreateAnAccountPage","Go to 'Create an Account' page and check url and page's header text",""
"passed","Fri Jul 18 15:27:43 GMT 2025","Fri Jul 18 15:28:17 GMT 2025","34718","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBagAndCheckTransition","On current item's page pick size, click 'Add to bag', get info about added to bag item, check that added to bag modal has appeared, then go to basket and check url and compare info about item",""
"passed","Fri Jul 18 15:23:10 GMT 2025","Fri Jul 18 15:23:39 GMT 2025","29329","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemUsingSearchAndCheckItemAndShipping","Add item to the bag, using search and quick shop, which price is bigger than 75$, check that items name and price from search and bag are identical and check status of shipping progress bar",""
"passed","Fri Jul 18 15:30:10 GMT 2025","Fri Jul 18 15:30:16 GMT 2025","6125","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooBigPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with more than 25 characters, click 'Sign In' button and check message",""
"passed","Fri Jul 18 15:19:34 GMT 2025","Fri Jul 18 15:19:35 GMT 2025","279","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postGuestTokenWithInvalidAuthValue","Post request for guest token for authorization using invalid Authorization header value and check status code",""
"passed","Fri Jul 18 15:25:31 GMT 2025","Fri Jul 18 15:25:38 GMT 2025","7650","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndPickSuggestion","Type name of the item in the search field, check that dropdown is visible, click on the appeared option, check url and subtitle",""
"passed","Fri Jul 18 15:19:46 GMT 2025","Fri Jul 18 15:19:47 GMT 2025","1328","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameAndCheckNames","Search all items by name, check that their names contain the requested text and check status code",""
"passed","Fri Jul 18 15:29:08 GMT 2025","Fri Jul 18 15:29:16 GMT 2025","8003","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToMeansJeans","Move cursor to Men's section, click on Jeans link, check url and subtitle",""
"broken","Fri Jul 18 15:30:16 GMT 2025","Fri Jul 18 15:30:32 GMT 2025","15719","","UI.Tests.SingInTests","","UI.Tests.SingInTests","successfulSignIn","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, lastname, click 'Sign In' button and check that authorization was successful",""
"passed","Fri Jul 18 15:26:30 GMT 2025","Fri Jul 18 15:26:56 GMT 2025","25954","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBag","On current item's page pick size, click 'Add to bag' and check that 'Added to Bag' modal has appeared",""
"passed","Fri Jul 18 15:19:39 GMT 2025","Fri Jul 18 15:19:40 GMT 2025","502","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
"passed","Fri Jul 18 15:22:41 GMT 2025","Fri Jul 18 15:23:10 GMT 2025","29257","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemRemoveItAndCheck","Add item to the bag, remove it and check that bag is empty",""
"passed","Fri Jul 18 15:22:08 GMT 2025","Fri Jul 18 15:22:41 GMT 2025","33204","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemCheckPriceInBagAndCheckout","Add item to the bag, click on 'Let's Check Out' button and check that price in the bag page is the same as in checkout page",""
"passed","Fri Jul 18 15:19:47 GMT 2025","Fri Jul 18 15:20:19 GMT 2025","31751","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemAndGoToCheckOut","Add item to the bag, click on 'Let's Check Out' button and check url and page's title",""
"passed","Fri Jul 18 15:30:53 GMT 2025","Fri Jul 18 15:30:59 GMT 2025","5321","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithInvalidFirstName","Go to 'Sign In' modal inside 'Account' modal, type invalid firstname, valid password, click 'Sign In' button and check message",""
"passed","Fri Jul 18 15:19:40 GMT 2025","Fri Jul 18 15:19:41 GMT 2025","691","","API.Tests.CartTests","","API.Tests.CartTests","addItemChangeID","Add item to the cart, change itemID of the added to the cart item and check status code",""
"passed","Fri Jul 18 15:28:17 GMT 2025","Fri Jul 18 15:28:37 GMT 2025","19280","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickRadioOnlineOnly","On 'Men's Jeans' page click on 'Online Exclusives' radio and check its state",""
"passed","Fri Jul 18 15:19:46 GMT 2025","Fri Jul 18 15:19:46 GMT 2025","186","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsByNameUsingInvalidPath","Search all items by name using invalid path and check status code",""
"broken","Fri Jul 18 15:30:32 GMT 2025","Fri Jul 18 15:30:53 GMT 2025","21125","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
"passed","Fri Jul 18 15:26:05 GMT 2025","Fri Jul 18 15:26:30 GMT 2025","25164","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeFromDropdownTest","On current item's page click 'Size' button, check that dropdown is visible, scroll to first size, click on it and check that size have appeared",""
"passed","Fri Jul 18 15:25:49 GMT 2025","Fri Jul 18 15:25:54 GMT 2025","4464","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","Type name of the item in the 'Search' field and check that dropdown is visible",""
