"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 10:26:52 GMT 2025","Mon Jul 14 10:27:26 GMT 2025","34052","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemFromPageAddToBagCheckItemAndShipping","Add item to the bag from section of items in current item's page, which price is less than 75$, check that items name and price from section page and bag are identical and check status, value of shipping progress bar and prices",""
"passed","Mon Jul 14 10:26:25 GMT 2025","Mon Jul 14 10:26:52 GMT 2025","26786","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemUsingSearchAndCheckItemAndShipping","Add item to the bag, using search and quick shop, which price is bigger than 75$, check that items name and price from search and bag are identical and check status of shipping progress bar",""
"broken","Mon Jul 14 10:33:51 GMT 2025","Mon Jul 14 10:34:08 GMT 2025","17175","","UI.Tests.SingInTests","","UI.Tests.SingInTests","authorizationWithTooSmallPassword","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, password with less than 8 characters, click 'Sign In' button and check message",""
"passed","Mon Jul 14 10:29:05 GMT 2025","Mon Jul 14 10:29:11 GMT 2025","5344","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","typeWithMistakeAndCheckSuggestion","Type the name of the item in the search field and make mistake in one letter - check that simial type of items with correct name has appeared in dropdown",""
"passed","Mon Jul 14 10:31:23 GMT 2025","Mon Jul 14 10:31:41 GMT 2025","17745","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickRadioOnlineOnly","On 'Men's Jeans' page click on 'Online Exclusives' radio and check its state",""
"passed","Mon Jul 14 10:30:53 GMT 2025","Mon Jul 14 10:31:23 GMT 2025","30460","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBagAndCheckTransition","On current item's page pick size, click 'Add to bag', get info about added to bag item, check that added to bag modal has appeared, then go to basket and check url and compare info about item",""
"passed","Mon Jul 14 10:31:41 GMT 2025","Mon Jul 14 10:32:13 GMT 2025","32385","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxAndDisableFilter","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that it is checked and disable it by clicking on appeared filter button",""
"passed","Mon Jul 14 10:23:05 GMT 2025","Mon Jul 14 10:23:05 GMT 2025","213","","API.Tests.CartTests","","API.Tests.CartTests","addItemUsingInvalidPath","Add item to the cart with invalid path and check status code",""
"passed","Mon Jul 14 10:28:03 GMT 2025","Mon Jul 14 10:28:10 GMT 2025","7223","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Mon Jul 14 10:23:00 GMT 2025","Mon Jul 14 10:23:00 GMT 2025","144","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
